Ring	FRC	FRCSmoothed	Threshold
113	4.6211856603622437e-01	4.6787270903587341e-01	2.2354207932949066e-01
114	4.4603979587554932e-01	4.6112653613090515e-01	2.2513467073440552e-01
115	4.5867365598678589e-01	4.5506936311721802e-01	2.2387357056140900e-01
116	4.6720749139785767e-01	4.5023104548454285e-01	2.2390905022621155e-01
117	4.2933589220046997e-01	4.4638159871101379e-01	2.2345925867557526e-01
118	4.3937432765960693e-01	4.4246181845664978e-01	2.2327269613742828e-01
119	4.3790194392204285e-01	4.3804284930229187e-01	2.2358696162700653e-01
120	4.4817638397216797e-01	4.3369704484939575e-01	2.2208535671234131e-01
121	4.2819774150848389e-01	4.3084084987640381e-01	2.2253446280956268e-01
122	4.1648432612419128e-01	4.2925885319709778e-01	2.2274069488048553e-01
123	4.2053031921386719e-01	4.2652690410614014e-01	2.2267550230026245e-01
124	4.1959404945373535e-01	4.2113229632377625e-01	2.2269973158836365e-01
125	4.3649679422378540e-01	4.1385832428932190e-01	2.2146341204643250e-01
126	4.3429791927337646e-01	4.0645092725753784e-01	2.2114865481853485e-01
127	4.0573424100875854e-01	3.9932337403297424e-01	2.2180125117301941e-01
128	3.5904860496520996e-01	3.9122393727302551e-01	2.2129707038402557e-01
129	3.6646962165832520e-01	3.8193970918655396e-01	2.2071276605129242e-01
130	3.7044352293014526e-01	3.7266078591346741e-01	2.2138090431690216e-01
131	3.8770636916160583e-01	3.6537367105484009e-01	2.2151309251785278e-01
132	3.4719365835189819e-01	3.5991263389587402e-01	2.2110576927661896e-01
133	3.5996273159980774e-01	3.5490527749061584e-01	2.1969014406204224e-01
134	3.4203994274139404e-01	3.4944206476211548e-01	2.1985934674739838e-01
135	3.6128982901573181e-01	3.4383982419967651e-01	2.2098691761493683e-01
136	3.1887161731719971e-01	3.3868369460105896e-01	2.1983318030834198e-01
137	3.2884654402732849e-01	3.3370977640151978e-01	2.1929147839546204e-01
138	3.3772730827331543e-01	3.2836386561393738e-01	2.1818023920059204e-01
139	3.2674175500869751e-01	3.2312488555908203e-01	2.1842062473297119e-01
140	3.2338696718215942e-01	3.1883171200752258e-01	2.2018358111381531e-01
141	3.0552947521209717e-01	3.1569364666938782e-01	2.1829731762409210e-01
142	3.0866289138793945e-01	3.1222125887870789e-01	2.1885141730308533e-01
143	2.9701918363571167e-01	3.0783334374427795e-01	2.1973431110382080e-01
144	3.1306433677673340e-01	3.0351108312606812e-01	2.1845479309558868e-01
145	3.1473961472511292e-01	3.0008342862129211e-01	2.1824835240840912e-01
146	3.0009233951568604e-01	2.9742693901062012e-01	2.1800117194652557e-01
147	2.7352970838546753e-01	2.9437765479087830e-01	2.1778714656829834e-01
148	2.8942197561264038e-01	2.9011923074722290e-01	2.1763151884078979e-01
149	2.9291146993637085e-01	2.8449088335037231e-01	2.1754853427410126e-01
