Ring	FRC	FRCSmoothed	Threshold
135	7.3267829418182373e-01	7.5544458627700806e-01	2.2020795941352844e-01
136	7.1442705392837524e-01	7.4666130542755127e-01	2.1972034871578217e-01
137	7.0271313190460205e-01	7.4013745784759521e-01	2.1924714744091034e-01
138	6.9697171449661255e-01	7.3647296428680420e-01	2.1926593780517578e-01
139	7.1004110574722290e-01	7.3660957813262939e-01	2.1908521652221680e-01
140	7.0136195421218872e-01	7.4195492267608643e-01	2.1959665417671204e-01
141	7.4289822578430176e-01	7.5114595890045166e-01	2.1926875412464142e-01
142	8.1854689121246338e-01	7.6026272773742676e-01	2.1854791045188904e-01
143	7.7846097946166992e-01	7.6597434282302856e-01	2.1858131885528564e-01
144	8.1979608535766602e-01	7.6522552967071533e-01	2.1824729442596436e-01
145	7.8516340255737305e-01	7.5610864162445068e-01	2.1804040670394897e-01
146	7.9204243421554565e-01	7.3871129751205444e-01	2.1848466992378235e-01
147	7.4986463785171509e-01	7.1559911966323853e-01	2.1857944130897522e-01
148	6.9780135154724121e-01	6.9040703773498535e-01	2.1756567060947418e-01
149	6.2825566530227661e-01	6.6449248790740967e-01	2.1752676367759705e-01
150	5.8415985107421875e-01	6.3819193840026855e-01	2.1748690307140350e-01
151	5.6719076633453369e-01	6.1310058832168579e-01	2.1749444305896759e-01
152	5.9081506729125977e-01	5.9130871295928955e-01	2.1756738424301147e-01
153	6.3133555650711060e-01	5.7520312070846558e-01	2.1660803258419037e-01
154	5.2968037128448486e-01	5.6520491838455200e-01	2.1663561463356018e-01
155	5.4020631313323975e-01	5.5832904577255249e-01	2.1698936820030212e-01
156	5.3405272960662842e-01	5.5036342144012451e-01	2.1654695272445679e-01
157	5.3086304664611816e-01	5.3923910856246948e-01	2.1656852960586548e-01
158	5.5171048641204834e-01	5.2630949020385742e-01	2.1687023341655731e-01
159	5.7051640748977661e-01	5.1517927646636963e-01	2.1641318500041962e-01
160	5.2570050954818726e-01	5.0810468196868896e-01	2.1582262217998505e-01
161	4.5586955547332764e-01	5.0397437810897827e-01	2.1588400006294250e-01
162	4.3957698345184326e-01	5.0179249048233032e-01	2.1583360433578491e-01
163	4.4868874549865723e-01	5.0094592571258545e-01	2.1571321785449982e-01
164	4.9449938535690308e-01	5.0064414739608765e-01	2.1554557979106903e-01
165	5.3541827201843262e-01	5.0100541114807129e-01	2.1519605815410614e-01
166	5.3185790777206421e-01	5.0156366825103760e-01	2.1542328596115112e-01
